epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,22821.3,1.58896,1.21869,1.18618,0.53128,0.44523,0.45374,0.27875,1.51656,1.15762,1.19449,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,23078.8,1.58879,1.21528,1.18454,0.53519,0.44589,0.45769,0.28107,1.51542,1.15585,1.19319,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,23336.7,1.58981,1.21617,1.18592,0.52926,0.44738,0.45799,0.28152,1.51551,1.15468,1.19284,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,23594.1,1.5817,1.21148,1.1834,0.54063,0.44276,0.45835,0.28216,1.51462,1.15402,1.19249,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,23852,1.59505,1.21376,1.18248,0.53385,0.44644,0.45792,0.28191,1.51404,1.15316,1.19202,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,24109.8,1.58766,1.2151,1.18216,0.54067,0.44187,0.45793,0.28217,1.51334,1.1526,1.19199,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,24367.6,1.57961,1.20881,1.18028,0.53808,0.43973,0.45788,0.282,1.51274,1.15076,1.19149,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,24625.9,1.58445,1.21185,1.18178,0.54165,0.44265,0.45849,0.28239,1.51162,1.15027,1.19128,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,24882.5,1.57794,1.2064,1.18205,0.54176,0.44075,0.4576,0.28175,1.51132,1.14879,1.1909,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,25139.8,1.57809,1.20202,1.18049,0.54619,0.4427,0.45885,0.28304,1.51108,1.14726,1.19059,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,25396.9,1.57283,1.20176,1.17709,0.5454,0.4449,0.46005,0.28411,1.50992,1.14722,1.18965,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,25654.5,1.574,1.19783,1.17871,0.54748,0.44414,0.46133,0.28515,1.5098,1.14602,1.18934,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,25912.4,1.58442,1.20844,1.1782,0.54143,0.44766,0.46286,0.28569,1.50918,1.14496,1.18889,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,26169.1,1.56335,1.18871,1.17201,0.54077,0.44814,0.46279,0.28608,1.50809,1.14227,1.18789,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,26426,1.57377,1.19419,1.17461,0.53852,0.4531,0.46309,0.28624,1.50774,1.14165,1.18748,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,26684.7,1.56859,1.19224,1.17165,0.53911,0.45344,0.46339,0.28596,1.50606,1.14047,1.18682,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,26941.5,1.5722,1.19915,1.17616,0.53693,0.45278,0.46393,0.28643,1.50551,1.1392,1.18677,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,27198.5,1.56771,1.1898,1.17357,0.53981,0.4511,0.46412,0.28605,1.5049,1.13861,1.18567,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,27456,1.56231,1.18444,1.1745,0.54452,0.45049,0.46459,0.28681,1.50441,1.13825,1.18539,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,27713.7,1.56188,1.18941,1.16976,0.54297,0.45192,0.46633,0.2879,1.50416,1.13701,1.1851,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,27970.8,1.5655,1.1894,1.17347,0.54249,0.45253,0.46688,0.28796,1.50372,1.13588,1.18479,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,28229.1,1.56689,1.18391,1.17147,0.54227,0.45194,0.46715,0.28832,1.50349,1.13531,1.18447,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,28486.3,1.55898,1.18236,1.16885,0.54229,0.45291,0.46764,0.28848,1.50444,1.13586,1.18452,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,28744.9,1.5653,1.18332,1.16901,0.54056,0.45408,0.46815,0.28894,1.50393,1.13436,1.18418,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,29002.9,1.5636,1.18235,1.16973,0.54243,0.4532,0.46813,0.28916,1.50344,1.1341,1.18343,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
