epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,10137.2,1.3445,1.01777,1.03832,0.50874,0.43114,0.43766,0.26436,1.31109,0.99309,1.04156,0.004885,0.004885,0.004885
157,10202,1.33773,1.01285,1.03713,0.51082,0.43018,0.43772,0.26435,1.31086,0.99291,1.04131,0.004852,0.004852,0.004852
158,10266.5,1.33674,1.01535,1.03892,0.50967,0.43094,0.43791,0.26462,1.31091,0.99283,1.04112,0.004819,0.004819,0.004819
159,10331.4,1.34216,1.01613,1.03752,0.51167,0.4305,0.43807,0.26469,1.31098,0.99284,1.04099,0.004786,0.004786,0.004786
160,10395.9,1.32894,1.00769,1.0342,0.51218,0.43028,0.43834,0.26489,1.31076,0.99257,1.04078,0.004753,0.004753,0.004753
161,10460.5,1.3337,1.00989,1.03657,0.51237,0.43022,0.43835,0.26479,1.31067,0.99249,1.04053,0.00472,0.00472,0.00472
162,10525.8,1.33346,1.00543,1.0317,0.51346,0.42955,0.43824,0.26488,1.31067,0.99246,1.04041,0.004687,0.004687,0.004687
163,10590.5,1.33995,1.01077,1.03325,0.5134,0.42942,0.43867,0.26514,1.31062,0.99232,1.04014,0.004654,0.004654,0.004654
164,10655.5,1.34338,1.0096,1.03619,0.51353,0.42957,0.43862,0.26541,1.31082,0.99224,1.04003,0.004621,0.004621,0.004621
165,10719.9,1.33967,1.01243,1.03819,0.51379,0.42983,0.43873,0.26531,1.31085,0.99221,1.0399,0.004588,0.004588,0.004588
166,10784.8,1.33245,1.0075,1.03197,0.51393,0.42962,0.43874,0.26554,1.31059,0.99192,1.03979,0.004555,0.004555,0.004555
167,10849.5,1.34048,1.00574,1.03297,0.5135,0.42924,0.43876,0.26557,1.31043,0.99176,1.03958,0.004522,0.004522,0.004522
168,10914.3,1.33444,1.00123,1.03143,0.51378,0.43005,0.43889,0.26574,1.31047,0.99176,1.03951,0.004489,0.004489,0.004489
169,10979.4,1.33033,1.00657,1.03086,0.51359,0.42936,0.43899,0.26582,1.31032,0.99167,1.03939,0.004456,0.004456,0.004456
170,11044.2,1.33283,1.00349,1.03084,0.51287,0.43103,0.43929,0.26583,1.31029,0.99169,1.0392,0.004423,0.004423,0.004423
171,11108.9,1.32996,1.00156,1.0297,0.51423,0.4296,0.43922,0.26584,1.31037,0.9917,1.03916,0.00439,0.00439,0.00439
172,11174.4,1.33091,1.00255,1.03009,0.51534,0.42982,0.43948,0.26612,1.31021,0.99169,1.03895,0.004357,0.004357,0.004357
173,11238.2,1.33266,1.00193,1.03136,0.51403,0.43102,0.43953,0.26611,1.31001,0.99156,1.03871,0.004324,0.004324,0.004324
174,11302.7,1.33499,1.0007,1.03075,0.51267,0.43196,0.43947,0.266,1.31006,0.99158,1.03859,0.004291,0.004291,0.004291
175,11367.7,1.3295,0.99963,1.02801,0.51263,0.43187,0.43971,0.26617,1.31012,0.99136,1.03841,0.004258,0.004258,0.004258
176,11432.3,1.33077,0.9971,1.02513,0.51248,0.43149,0.43993,0.26618,1.31025,0.99127,1.03835,0.004225,0.004225,0.004225
177,11496.9,1.32782,1.00087,1.02637,0.51215,0.43114,0.44,0.26622,1.31008,0.99099,1.03817,0.004192,0.004192,0.004192
178,11561.3,1.32532,0.99657,1.02677,0.51206,0.43108,0.44015,0.26613,1.31004,0.99077,1.03806,0.004159,0.004159,0.004159
179,11625.7,1.33034,0.9959,1.02556,0.51421,0.43059,0.44059,0.26635,1.30993,0.99075,1.03788,0.004126,0.004126,0.004126
180,11690.4,1.32627,0.99441,1.02564,0.51173,0.43215,0.44056,0.26618,1.3099,0.99072,1.03774,0.004093,0.004093,0.004093
181,11754.8,1.33096,1.00229,1.02807,0.51214,0.43245,0.44062,0.2663,1.30984,0.99059,1.0376,0.00406,0.00406,0.00406
182,11819.4,1.32496,0.99416,1.02615,0.51075,0.43369,0.44088,0.26645,1.30978,0.99043,1.0375,0.004027,0.004027,0.004027
183,11883.9,1.32427,0.99443,1.02427,0.5118,0.43251,0.44121,0.26648,1.30981,0.99043,1.03736,0.003994,0.003994,0.003994
184,11949,1.33268,0.99616,1.0267,0.5122,0.43286,0.44137,0.26654,1.30962,0.99023,1.03719,0.003961,0.003961,0.003961
185,12013.8,1.32337,0.99171,1.02541,0.51343,0.4319,0.44156,0.26659,1.30971,0.99018,1.03712,0.003928,0.003928,0.003928
186,12078,1.32328,0.99244,1.02203,0.51557,0.43118,0.44154,0.26665,1.30987,0.99018,1.03705,0.003895,0.003895,0.003895
187,12143.4,1.32504,0.99483,1.02409,0.51805,0.42987,0.44131,0.26664,1.30982,0.99007,1.03692,0.003862,0.003862,0.003862
188,12208.6,1.32367,0.99131,1.02576,0.51723,0.43097,0.44139,0.26683,1.30989,0.99003,1.03682,0.003829,0.003829,0.003829
